area_title,index
Alabama,89.4
Alaska,128
Arizona,101.3
Arkansas,87.8
California,138.5
Colorado,105
Connecticut,125.1
Delaware,107.9
Florida,99
Georgia,89.4
Hawaii,196.3
Idaho,94.1
Illinois,95.8
Indiana,90.4
Iowa,92.1
Kansas,87.9
Kentucky,93.8
Louisiana,93.4
Maine,116.2
Maryland,128.1
Massachusetts,132.6
Michigan,90.9
Minnesota,101.2
Mississippi,84.8
Missouri,88.9
Montana,98.8
Nebraska,92.6
Nevada,108.9
New Hampshire,108.2
New Jersey,118.2
New Mexico,89.6
New York,133.7
North Carolina,95.6
North Dakota,97
Ohio,92.9
Oklahoma,86.8
Oregon,134.6
Pennsylvania,101.9
Rhode Island,119.4
South Carolina,95.8
South Dakota,97
Tennessee,90.2
Texas,92.3
Utah,97.3
Vermont,116
Virginia,101.6
Washington,111.3
West Virginia,92.1
Wisconsin,96.3
Wyoming,95.4
